"date_time";"value"
"2016-06-04 03:55:00";0.122
"2016-06-04 04:20:00";0.118
"2016-06-04 04:45:00";0.114
"2016-06-04 05:10:00";0.111
"2016-06-04 05:35:00";0.108
"2016-06-04 06:00:00";0.104
"2016-06-04 06:25:00";0.107
"2016-06-04 06:50:00";0.107
"2016-06-04 07:15:00";0.101
"2016-06-04 07:40:00";0.09
"2016-06-04 08:05:00";0.081
"2016-06-04 08:30:00";0.074
"2016-06-04 08:55:00";0.067
"2016-06-04 09:20:00";0.06
"2016-06-04 09:45:00";0.055
"2016-06-04 10:10:00";0.05
"2016-06-04 10:35:00";0.045
"2016-06-04 11:00:00";0.041
"2016-06-04 11:25:00";0.037
"2016-06-04 11:50:00";0.034
"2016-06-04 12:15:00";0.031
"2016-06-04 12:40:00";0.028
"2016-06-04 13:05:00";0.025
"2016-06-04 13:30:00";0.023
"2016-06-04 13:55:00";0.021
"2016-06-04 14:20:00";0.019
"2016-06-04 14:45:00";0.017
"2016-06-04 15:10:00";0.015
"2016-06-04 15:35:00";0.014
"2016-06-04 16:00:00";0.013
"2016-06-04 16:25:00";0.011
"2016-06-04 16:50:00";0.01
"2016-06-04 17:15:00";0.01
"2016-06-04 17:40:00";0.01
"2016-06-04 18:05:00";0.01
"2016-06-04 18:30:00";0.009
"2016-06-04 18:55:00";0.009
"2016-06-04 19:20:00";0.009
"2016-06-04 19:45:00";0.008
"2016-06-04 20:10:00";0.008
"2016-06-04 20:35:00";0.008
"2016-06-04 21:00:00";0.008
"2016-06-04 21:25:00";0.007
"2016-06-04 21:50:00";0.007
"2016-06-04 22:15:00";0.007
"2016-06-04 22:40:00";0.007
"2016-06-04 23:05:00";0.007
"2016-06-04 23:30:00";0.006
"2016-06-04 23:55:00";0.006
"2016-06-05 00:20:00";0.006
"2016-06-05 00:45:00";0.006
"2016-06-05 01:10:00";0.006
"2016-06-05 01:35:00";0.006
"2016-06-05 02:00:00";0.005
"2016-06-05 02:25:00";0.005
"2016-06-05 02:50:00";0.005
"2016-06-05 03:15:00";0.005
"2016-06-05 03:40:00";0.005
"2016-06-05 04:05:00";0.005
"2016-06-05 04:30:00";0.004
"2016-06-05 04:55:00";0.004
"2016-06-05 05:20:00";0.004
"2016-06-05 05:45:00";0.004
"2016-06-05 06:10:00";0.004
"2016-06-05 06:35:00";0.004
"2016-06-05 07:00:00";0.004
"2016-06-05 07:25:00";0.004
"2016-06-05 07:50:00";0.004
"2016-06-05 08:15:00";0.003
"2016-06-05 08:40:00";0.003
"2016-06-05 09:05:00";0.003
"2016-06-05 09:30:00";0.003
"2016-06-05 09:55:00";0.003
"2016-06-05 10:20:00";0.003
"2016-06-05 10:45:00";0.003
"2016-06-05 11:10:00";0.003
"2016-06-05 11:35:00";0.003
"2016-06-05 12:00:00";0.003
"2016-06-05 12:25:00";0.003
"2016-06-05 12:50:00";0.002
"2016-06-05 13:15:00";0.002
"2016-06-05 13:40:00";0.002
"2016-06-05 14:05:00";0.002
"2016-06-05 14:30:00";0.002
"2016-06-05 14:55:00";0.002
"2016-06-05 15:20:00";0.002
"2016-06-05 15:45:00";0.002
"2016-06-05 16:10:00";0.002
"2016-06-05 16:35:00";0.002
"2016-06-05 17:00:00";0.002
"2016-06-05 17:25:00";0.002
"2016-06-05 17:50:00";0.002
"2016-06-05 18:15:00";0.002
"2016-06-05 18:40:00";0.002
"2016-06-05 19:05:00";0.002
"2016-06-05 19:30:00";0.002
"2016-06-05 19:55:00";0.001
"2016-06-05 20:20:00";0.001
"2016-06-05 20:45:00";0.001
"2016-06-05 21:10:00";0.001
"2016-06-05 21:35:00";0.001
"2016-06-05 22:00:00";0.001
"2016-06-05 22:25:00";0.001
"2016-06-05 22:50:00";0.001
"2016-06-05 23:15:00";0.001
"2016-06-05 23:40:00";0.001
"2016-06-06 00:05:00";0.001
"2016-06-06 00:30:00";0.001
"2016-06-06 00:55:00";0.001
"2016-06-06 01:20:00";0
"2016-06-06 01:45:00";0
"2016-06-06 02:10:00";0
"2016-06-06 02:35:00";0
"2016-06-06 03:00:00";0
"2016-06-06 03:25:00";0
"2016-06-06 03:50:00";0
"2016-06-06 04:15:00";0
"2016-06-06 04:40:00";0
"2016-06-06 05:05:00";0
"2016-06-06 05:30:00";0
"2016-06-06 05:55:00";0
"2016-06-06 06:20:00";0
"2016-06-06 06:45:00";0
"2016-06-06 07:10:00";0
"2016-06-06 07:35:00";0
"2016-06-06 08:00:00";0
"2016-06-06 08:25:00";0
"2016-06-06 08:50:00";0
"2016-06-06 09:15:00";0
"2016-06-06 09:40:00";0
"2016-06-06 10:05:00";0
"2016-06-06 10:30:00";0
"2016-06-06 10:55:00";0
"2016-06-06 11:20:00";0
"2016-06-06 11:45:00";0
"2016-06-06 12:10:00";0
"2016-06-06 12:35:00";0
"2016-06-06 13:00:00";0
"2016-06-06 13:25:00";0
"2016-06-06 13:50:00";0
"2016-06-06 14:15:00";0
"2016-06-06 14:40:00";0
"2016-06-06 15:05:00";0
"2016-06-06 15:30:00";0
"2016-06-06 15:55:00";0
"2016-06-06 16:20:00";0
"2016-06-06 16:45:00";0
"2016-06-06 17:10:00";0
"2016-06-06 17:35:00";0
"2016-06-06 18:00:00";0
"2016-06-06 18:25:00";0
"2016-06-06 18:50:00";0
"2016-06-06 19:15:00";0
"2016-06-06 19:40:00";0
"2016-06-06 20:05:00";0
"2016-06-06 20:30:00";0
"2016-06-06 20:55:00";0
"2016-06-06 21:20:00";0
"2016-06-06 21:45:00";0
"2016-06-06 22:10:00";0
"2016-06-06 22:35:00";0
"2016-06-06 23:00:00";0
"2016-06-06 23:25:00";0
"2016-06-06 23:50:00";0
"2016-06-07 00:15:00";0
"2016-06-07 00:40:00";0
"2016-06-07 01:05:00";0
"2016-06-07 01:30:00";0
"2016-06-07 01:55:00";0
"2016-06-07 02:20:00";0
"2016-06-07 02:45:00";0
"2016-06-07 03:10:00";0
"2016-06-07 03:35:00";0
"2016-06-07 04:00:00";0
"2016-06-07 04:25:00";0.033
"2016-06-07 04:50:00";0.139
"2016-06-07 05:15:00";0.282
"2016-06-07 05:40:00";0.442
"2016-06-07 06:05:00";0.622
"2016-06-07 06:30:00";0.83
"2016-06-07 06:55:00";1.033
"2016-06-07 07:20:00";1.322
"2016-06-07 07:45:00";1.464
"2016-06-07 08:10:00";1.509
"2016-06-07 08:35:00";1.521
"2016-06-07 09:00:00";1.547
"2016-06-07 09:25:00";1.616
"2016-06-07 09:50:00";1.707
"2016-06-07 10:15:00";1.81
"2016-06-07 10:40:00";1.918
"2016-06-07 11:05:00";2.03
"2016-06-07 11:30:00";2.145
"2016-06-07 11:55:00";2.24
"2016-06-07 12:20:00";2.304
"2016-06-07 12:45:00";2.378
"2016-06-07 13:10:00";2.432
"2016-06-07 13:35:00";2.517
"2016-06-07 14:00:00";2.525
"2016-06-07 14:25:00";2.519
"2016-06-07 14:50:00";2.52
"2016-06-07 15:15:00";2.503
"2016-06-07 15:40:00";2.48
"2016-06-07 16:05:00";2.452
"2016-06-07 16:30:00";2.411
"2016-06-07 16:55:00";2.362
"2016-06-07 17:20:00";2.314
"2016-06-07 17:45:00";2.28
"2016-06-07 18:10:00";2.231
"2016-06-07 18:35:00";2.146
"2016-06-07 19:00:00";2.071
"2016-06-07 19:25:00";2.006
"2016-06-07 19:50:00";1.912
"2016-06-07 20:15:00";1.826
"2016-06-07 20:40:00";1.755
"2016-06-07 21:05:00";1.69
"2016-06-07 21:30:00";1.621
"2016-06-07 21:55:00";1.555
"2016-06-07 22:20:00";1.592
"2016-06-07 22:45:00";1.674
"2016-06-07 23:10:00";1.7
"2016-06-07 23:35:00";1.695
"2016-06-08 00:00:00";1.672
"2016-06-08 00:25:00";1.64
"2016-06-08 00:50:00";1.606
"2016-06-08 01:15:00";1.568
"2016-06-08 01:40:00";1.525
"2016-06-08 02:05:00";1.481
"2016-06-08 02:30:00";1.437
"2016-06-08 02:55:00";1.395
"2016-06-08 03:20:00";1.353
"2016-06-08 03:45:00";1.313
"2016-06-08 04:10:00";1.274
"2016-06-08 04:35:00";1.235
"2016-06-08 05:00:00";1.198
"2016-06-08 05:25:00";1.163
"2016-06-08 05:50:00";1.128
"2016-06-08 06:15:00";1.141
"2016-06-08 06:40:00";1.147
"2016-06-08 07:05:00";1.135
"2016-06-08 07:30:00";1.045
"2016-06-08 07:55:00";0.967
"2016-06-08 08:20:00";0.914
"2016-06-08 08:45:00";0.873
"2016-06-08 09:10:00";0.838
"2016-06-08 09:35:00";0.805
"2016-06-08 10:00:00";0.775
"2016-06-08 10:25:00";0.747
"2016-06-08 10:50:00";0.721
"2016-06-08 11:15:00";0.692
"2016-06-08 11:40:00";0.658
"2016-06-08 12:05:00";0.631
"2016-06-08 12:30:00";0.586
"2016-06-08 12:55:00";0.551
"2016-06-08 13:20:00";0.52
"2016-06-08 13:45:00";0.492
"2016-06-08 14:10:00";0.469
"2016-06-08 14:35:00";0.448
"2016-06-08 15:00:00";0.429
"2016-06-08 15:25:00";0.409
"2016-06-08 15:50:00";0.39
"2016-06-08 16:15:00";0.37
"2016-06-08 16:40:00";0.35
"2016-06-08 17:05:00";0.33
"2016-06-08 17:30:00";0.312
"2016-06-08 17:55:00";0.294
"2016-06-08 18:20:00";0.274
"2016-06-08 18:45:00";0.255
"2016-06-08 19:10:00";0.241
"2016-06-08 19:35:00";0.294
"2016-06-08 20:00:00";0.421
"2016-06-08 20:25:00";0.582
"2016-06-08 20:50:00";0.753
"2016-06-08 21:15:00";0.924
"2016-06-08 21:40:00";1.092
"2016-06-08 22:05:00";1.287
"2016-06-08 22:30:00";1.637
"2016-06-08 22:55:00";1.83
"2016-06-08 23:20:00";1.971
"2016-06-08 23:45:00";2.099
"2016-06-09 00:10:00";2.205
"2016-06-09 00:35:00";2.256
"2016-06-09 01:00:00";2.335
"2016-06-09 01:25:00";2.434
"2016-06-09 01:50:00";2.534
"2016-06-09 02:15:00";2.642
"2016-06-09 02:40:00";2.812
"2016-06-09 03:05:00";3.013
"2016-06-09 03:30:00";3.214
"2016-06-09 03:55:00";3.407
"2016-06-09 04:20:00";3.591
"2016-06-09 04:45:00";3.766
"2016-06-09 05:10:00";3.889
"2016-06-09 05:35:00";3.987
"2016-06-09 06:00:00";4.129
"2016-06-09 06:25:00";4.481
"2016-06-09 06:50:00";4.77
"2016-06-09 07:15:00";4.784
"2016-06-09 07:40:00";4.643
"2016-06-09 08:05:00";4.558
"2016-06-09 08:30:00";4.454
"2016-06-09 08:55:00";4.337
"2016-06-09 09:20:00";4.22
"2016-06-09 09:45:00";4.113
"2016-06-09 10:10:00";4.038
"2016-06-09 10:35:00";3.906
"2016-06-09 11:00:00";3.729
"2016-06-09 11:25:00";3.566
"2016-06-09 11:50:00";3.421
"2016-06-09 12:15:00";3.292
"2016-06-09 12:40:00";3.177
"2016-06-09 13:05:00";3.072
"2016-06-09 13:30:00";2.974
"2016-06-09 13:55:00";2.881
"2016-06-09 14:20:00";2.789
"2016-06-09 14:45:00";2.706
"2016-06-09 15:10:00";2.63
"2016-06-09 15:35:00";2.562
"2016-06-09 16:00:00";2.501
"2016-06-09 16:25:00";2.445
"2016-06-09 16:50:00";2.394
"2016-06-09 17:15:00";2.348
"2016-06-09 17:40:00";2.306
"2016-06-09 18:05:00";2.279
"2016-06-09 18:30:00";2.271
"2016-06-09 18:55:00";2.205
"2016-06-09 19:20:00";2.031
"2016-06-09 19:45:00";1.838
"2016-06-09 20:10:00";1.659
"2016-06-09 20:35:00";1.498
"2016-06-09 21:00:00";1.355
"2016-06-09 21:25:00";1.226
"2016-06-09 21:50:00";1.11
"2016-06-09 22:15:00";1.01
"2016-06-09 22:40:00";0.977
"2016-06-09 23:05:00";0.951
"2016-06-09 23:30:00";0.926
"2016-06-09 23:55:00";0.898
"2016-06-10 00:20:00";0.868
"2016-06-10 00:45:00";0.839
"2016-06-10 01:10:00";0.812
"2016-06-10 01:35:00";0.787
"2016-06-10 02:00:00";0.763
"2016-06-10 02:25:00";0.739
"2016-06-10 02:50:00";0.716
"2016-06-10 03:15:00";0.694
"2016-06-10 03:40:00";0.673
"2016-06-10 04:05:00";0.653
"2016-06-10 04:30:00";0.633
"2016-06-10 04:55:00";0.614
"2016-06-10 05:20:00";0.606
"2016-06-10 05:45:00";0.593
"2016-06-10 06:10:00";0.597
"2016-06-10 06:35:00";0.604
"2016-06-10 07:00:00";0.6
"2016-06-10 07:25:00";0.517
"2016-06-10 07:50:00";0.453
"2016-06-10 08:15:00";0.409
"2016-06-10 08:40:00";0.373
"2016-06-10 09:05:00";0.337
"2016-06-10 09:30:00";0.305
"2016-06-10 09:55:00";0.276
"2016-06-10 10:20:00";0.249
"2016-06-10 10:45:00";0.225
"2016-06-10 11:10:00";0.204
"2016-06-10 11:35:00";0.184
"2016-06-10 12:00:00";0.166
"2016-06-10 12:25:00";0.15
"2016-06-10 12:50:00";0.136
"2016-06-10 13:15:00";0.123
"2016-06-10 13:40:00";0.112
"2016-06-10 14:05:00";0.102
"2016-06-10 14:30:00";0.094
"2016-06-10 14:55:00";0.086
"2016-06-10 15:20:00";0.079
"2016-06-10 15:45:00";0.072
"2016-06-10 16:10:00";0.066
"2016-06-10 16:35:00";0.06
"2016-06-10 17:00:00";0.055
"2016-06-10 17:25:00";0.049
"2016-06-10 17:50:00";0.044
"2016-06-10 18:15:00";0.037
"2016-06-10 18:40:00";0.033
"2016-06-10 19:05:00";0.03
"2016-06-10 19:30:00";0.027
"2016-06-10 19:55:00";0.025
